Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=11110|UniProtKB=O14497	ARID1A	AT-rich interactive domain-containing protein 1A;ARID1A;ortholog			
HUMAN|HGNC=5960|UniProtKB=O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta;IKBKB;ortholog	protein kinase activity(GO:0003824)	immune response(GO:0002376);protein phosphorylation(GO:0006955);cell communication(GO:0008152);response to stimulus(GO:0044238)	
HUMAN|HGNC=13056|UniProtKB=O14978	ZNF263	Zinc finger protein 263;ZNF263;ortholog			
HUMAN|HGNC=19165|UniProtKB=O60343	TBC1D4	TBC1 domain family member 4;TBC1D4;ortholog	hydrolase activity(GO:0003824);protein binding(GO:0016787);small GTPase regulator activity(GO:0005488)	metabolic process(GO:0008152);cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);intracellular protein transport(GO:0009653);exocytosis(GO:0032989);regulation of catalytic activity(GO:0051179);cellular component organization(GO:0006810)	
HUMAN|HGNC=9330|UniProtKB=O60828	PQBP1	Polyglutamine-binding protein 1;PQBP1;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=18466|UniProtKB=O60930	RNASEH1,RNH1	Ribonuclease H1;RNASEH1;ortholog			
HUMAN|HGNC=8063|UniProtKB=O75694	NUP155	Nuclear pore complex protein Nup155;NUP155;ortholog			
HUMAN|HGNC=7226|UniProtKB=O95297	MPZL1	Myelin protein zero-like protein 1;MPZL1;ortholog	voltage-gated sodium channel activity(GO:0005215);cation channel activity(GO:0022857);cation transmembrane transporter activity(GO:0005216)	cellular process(GO:0009987);cation transport(GO:0051179)	
HUMAN|HGNC=18078|UniProtKB=O95365	ZBTB7A	Zinc finger and BTB domain-containing protein 7A;ZBTB7A;ortholog			
HUMAN|HGNC=2376|UniProtKB=O95402	MED26	Mediator of RNA polymerase II transcription subunit 26;MED26;ortholog			
HUMAN|HGNC=29831|UniProtKB=O95544	NADK	NAD kinase;NADK;ortholog	nucleotide kinase activity(GO:0003824)	polyphosphate catabolic process(GO:0008152)	nucleus(GO:0043226);cytoplasm(GO:0005634)
HUMAN|HGNC=751|UniProtKB=O95671	ASMTL	N-acetylserotonin O-methyltransferase-like protein;ASMTL;ortholog	methyltransferase activity(GO:0003824)	cellular amino acid metabolic process(GO:0008152)	
HUMAN|HGNC=1801|UniProtKB=O95674	CDS2	Phosphatidate cytidylyltransferase 2;CDS2;ortholog			
HUMAN|HGNC=19076|UniProtKB=O95873	C6orf47	Uncharacterized protein C6orf47;C6orf47;ortholog			
HUMAN|HGNC=11179|UniProtKB=P00441	SOD1	Superoxide dismutase [Cu-Zn];SOD1;ortholog	oxidoreductase activity(GO:0003824);binding(GO:0016491);antioxidant activity(GO:0005488)	metabolic process(GO:0008152);cellular process(GO:0009987);response to stress(GO:0050896)	intracellular(GO:0044464)
HUMAN|HGNC=76|UniProtKB=P00519	ABL1	Tyrosine-protein kinase ABL1;ABL1;ortholog	protein kinase activity(GO:0003824)	immune response(GO:0002376);phosphate-containing compound metabolic process(GO:0006955);protein phosphorylation(GO:0008152);cell communication(GO:0006796);cell proliferation(GO:0044238);developmental process(GO:0019538);response to stress(GO:0006464);regulation of biological process(GO:0006468)	plasma membrane(GO:0016020);intracellular(GO:0005886)
HUMAN|HGNC=11028|UniProtKB=P04920	SLC4A2	Anion exchange protein 2;SLC4A2;ortholog	transmembrane transporter activity(GO:0005215)	cellular process(GO:0009987);anion transport(GO:0051179);homeostatic process(GO:0006810)	plasma membrane(GO:0016020);integral to membrane(GO:0005886);cell part(GO:0016021)
HUMAN|HGNC=4984|UniProtKB=P05114	HMGN1	Non-histone chromosomal protein HMG-14;HMGN1;ortholog	nucleic acid binding(GO:0005488);chromatin binding(GO:0003676)	DNA replication(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);cell cycle(GO:0006139)	
HUMAN|HGNC=10372|UniProtKB=P05386	RPLP1	60S acidic ribosomal protein P1;RPLP1;ortholog	structural constituent of ribosome(GO:0005198);nucleic acid binding(GO:0003735)	translation(GO:0008152)	
HUMAN|HGNC=6430|UniProtKB=P05783	KRT18	Keratin, type I cytoskeletal 18;KRT18;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);cellular component organization(GO:0009653)	intermediate filament cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=5261|UniProtKB=P10809	HSPD1	60 kDa heat shock protein, mitochondrial;HSPD1;ortholog			
HUMAN|HGNC=9393|UniProtKB=P17252	PRKCA	Protein kinase C alpha type;PRKCA;ortholog	protein kinase activity(GO:0003824);calcium ion binding(GO:0016740);calmodulin binding(GO:0016301);calcium-dependent phospholipid binding(GO:0004672)	protein phosphorylation(GO:0008152);cell cycle(GO:0044238);cell communication(GO:0019538)	
HUMAN|HGNC=8888|UniProtKB=P18669	PGAM1	Phosphoglycerate mutase 1;PGAM1;ortholog			
HUMAN|HGNC=7794|UniProtKB=P19838	NFKB1	Nuclear factor NF-kappa-B p105 subunit;NFKB1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	immune response(GO:0002376);nitrogen compound metabolic process(GO:0006955);biosynthetic process(GO:0008152);transcription from RNA polymerase II promoter(GO:0006807);cell communication(GO:0009058);response to stress(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139);regulation of sequence-specific DNA binding transcription factor activity(GO:0016070)	protein complex(GO:0032991);nucleus(GO:0043234);cytoplasm(GO:0043226)
HUMAN|HGNC=6637|UniProtKB=P20700	LMNB1	Lamin-B1;LMNB1;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);cellular component organization(GO:0009653)	intermediate filament cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=10774|UniProtKB=P23246	SFPQ	Splicing factor, proline- and glutamine-rich;SFPQ;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	spermatogenesis(GO:0000003);RNA splicing, via transesterification reactions(GO:0007276);transcription from RNA polymerase II promoter(GO:0007283);mRNA splicing, via spliceosome(GO:0008152);RNA splicing, via transesterification reactions(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=583|UniProtKB=P25054	APC	Adenomatous polyposis coli protein;APC;ortholog			
HUMAN|HGNC=23156|UniProtKB=P26368	U2AF2	Splicing factor U2AF 65 kDa subunit;U2AF2;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	RNA splicing, via transesterification reactions(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139)	
HUMAN|HGNC=7833|UniProtKB=P30414	NKTR	NK-tumor recognition protein;NKTR;ortholog	isomerase activity(GO:0003824)	cellular protein modification process(GO:0008152);cellular process(GO:0044238)	
HUMAN|HGNC=12401|UniProtKB=P33981	TTK	Dual specificity protein kinase TTK;TTK;ortholog	protein kinase activity(GO:0003824)	DNA replication(GO:0008152);DNA repair(GO:0044238);protein phosphorylation(GO:0006139);cytokinesis(GO:0006259);mitosis(GO:0006260);cell communication(GO:0006281)	
HUMAN|HGNC=6947|UniProtKB=P33991	MCM4	DNA replication licensing factor MCM4;MCM4;ortholog	nucleic acid binding(GO:0005488)	DNA replication(GO:0008152);cell cycle(GO:0044238)	
HUMAN|HGNC=6950|UniProtKB=P33993	MCM7	DNA replication licensing factor MCM7;MCM7;ortholog	DNA helicase activity(GO:0003824);hydrolase activity(GO:0004386);nucleic acid binding(GO:0003678)	DNA replication(GO:0008152);cell cycle(GO:0044238)	
HUMAN|HGNC=8064|UniProtKB=P35658	NUP214	Nuclear pore complex protein Nup214;NUP214;ortholog	structural molecule activity(GO:0005198);RNA binding(GO:0005488)	intracellular protein transport(GO:0051179);nuclear transport(GO:0006810)	
HUMAN|HGNC=10353|UniProtKB=P36578	RPL4	60S ribosomal protein L4;RPL4;ortholog		translation(GO:0008152)	
HUMAN|HGNC=6597|UniProtKB=P42702	LIFR	Leukemia inhibitory factor receptor;LIFR;ortholog	receptor activity(GO:0004872);cytokine activity(GO:0005488)	B cell mediated immunity(GO:0002376);cell communication(GO:0006955);nervous system development(GO:0019724);hemopoiesis(GO:0009987);response to stimulus(GO:0007154)	
HUMAN|HGNC=4851|UniProtKB=P42858	HTT	Huntingtin;HTT;ortholog			
HUMAN|HGNC=13723|UniProtKB=P49711	CTCF	Transcriptional repressor CTCF;CTCF;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=17798|UniProtKB=P49750	YLPM1	YLP motif-containing protein 1;YLPM1;ortholog	nucleic acid binding(GO:0005488)		
HUMAN|HGNC=8060|UniProtKB=P49757	NUMB	Protein numb homolog;NUMB;ortholog	receptor binding(GO:0005488)	immune system process(GO:0002376);apoptotic process(GO:0006915);cell communication(GO:0009987);apoptotic process(GO:0007154)	
HUMAN|HGNC=17255|UniProtKB=P50748	KNTC1	Kinetochore-associated protein 1;KNTC1;ortholog			
HUMAN|HGNC=11126|UniProtKB=P53814	SMTN	Smoothelin;SMTN;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular component movement(GO:0009987);anatomical structure morphogenesis(GO:0006928);cellular component organization(GO:0032502)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=7032|UniProtKB=P55081	MFAP1	Microfibrillar-associated protein 1;MFAP1;ortholog		cellular process(GO:0009987);cellular component organization(GO:0071840)	extracellular region(GO:0005576)
HUMAN|HGNC=23114|UniProtKB=P55199	ELL	RNA polymerase II elongation factor ELL;ELL;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238)	plasma membrane(GO:0016020);cell part(GO:0005886)
HUMAN|HGNC=14255|UniProtKB=P55201	BRPF1	Peregrin;BRPF1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=18785|UniProtKB=P56182	RRP1	Ribosomal RNA processing protein 1 homolog A;RRP1;ortholog			
HUMAN|HGNC=16993|UniProtKB=P60468	SEC61B	Protein transport protein Sec61 subunit beta;SEC61B;ortholog			
HUMAN|HGNC=2561|UniProtKB=P61073	CXCR4	C-X-C chemokine receptor type 4;CXCR4;ortholog	phosphoprotein phosphatase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016787);G-protein coupled receptor activity(GO:0016788)	immune response(GO:0002376);apoptotic process(GO:0006955);cellular protein modification process(GO:0006915);cell cycle(GO:0008152);cell communication(GO:0044238);neurological system process(GO:0019538);ectoderm development(GO:0006464);apoptotic process(GO:0009987);nervous system development(GO:0007049);response to stimulus(GO:0007154)	
HUMAN|HGNC=10429|UniProtKB=P62753	RPS6	40S ribosomal protein S6;RPS6;ortholog		nitrogen compound metabolic process(GO:0008152);rRNA metabolic process(GO:0006807);cellular process(GO:0044238);cellular component biogenesis(GO:0006139)	ribosome(GO:0032991);organelle(GO:0030529);cytosol(GO:0005840)
HUMAN|HGNC=29607|UniProtKB=P62805	HIST1H4A	Histone H4;HIST1H4A;ortholog			
HUMAN|HGNC=4793|UniProtKB=P62805	HIST1H4A	Histone H4;HIST1H4A;ortholog			
HUMAN|HGNC=4785|UniProtKB=P62805	HIST1H4A	Histone H4;HIST1H4A;ortholog			
HUMAN|HGNC=4784|UniProtKB=P62805	HIST1H4A	Histone H4;HIST1H4A;ortholog			
HUMAN|HGNC=4769|UniProtKB=P68431	HIST1H3A	Histone H3.1;HIST1H3A;ortholog			
HUMAN|HGNC=4771|UniProtKB=P68431	HIST1H3A	Histone H3.1;HIST1H3A;ortholog	DNA binding(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=4773|UniProtKB=P68431	HIST1H3A	Histone H3.1;HIST1H3A;ortholog			
HUMAN|HGNC=4774|UniProtKB=P68431	HIST1H3A	Histone H3.1;HIST1H3A;ortholog			
HUMAN|HGNC=957|UniProtKB=P80723	BASP1	Brain acid soluble protein 1;BASP1;ortholog		neurological system process(GO:0032501);ectoderm development(GO:0044707);nervous system development(GO:0003008);intracellular protein transport(GO:0050877);exocytosis(GO:0032502)	
HUMAN|HGNC=2662|UniProtKB=P98082	DAB2	Disabled homolog 2;DAB2;ortholog	receptor binding(GO:0005488)	immune system process(GO:0002376);apoptotic process(GO:0006915);cell communication(GO:0009987);apoptotic process(GO:0007154)	
HUMAN|HGNC=6036|UniProtKB=Q01167	FOXK2	Forkhead box protein K2;FOXK2;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=20040|UniProtKB=Q01518	CAP1	Adenylyl cyclase-associated protein 1;CAP1;ortholog	structural constituent of cytoskeleton(GO:0005198)	cell communication(GO:0009987)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=5007|UniProtKB=Q01581	HMGCS1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic;HMGCS1;ortholog	transferase activity(GO:0003824);lyase activity(GO:0016740)	coenzyme metabolic process(GO:0008152);cholesterol metabolic process(GO:0006732)	
HUMAN|HGNC=3438|UniProtKB=Q03468	ERCC6	DNA excision repair protein ERCC-6;ERCC6;ortholog			
HUMAN|HGNC=26936|UniProtKB=Q05D32	CTDSPL2	CTD small phosphatase-like protein 2;CTDSPL2;ortholog			
HUMAN|HGNC=10018|UniProtKB=Q06587	RING1	E3 ubiquitin-protein ligase RING1;RING1;ortholog	ubiquitin-protein ligase activity(GO:0003824)	transcription from RNA polymerase II promoter(GO:0008152);cellular protein modification process(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139);chromatin remodeling(GO:0016070)	
HUMAN|HGNC=2324|UniProtKB=Q10570	CPSF1	Cleavage and polyadenylation specificity factor subunit 1;CPSF1;ortholog	RNA binding(GO:0005488)	nitrogen compound metabolic process(GO:0008152);mRNA 3'-end processing(GO:0006807);cellular process(GO:0044238)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=1911|UniProtKB=Q13112	CHAF1B	Chromatin assembly factor 1 subunit B;CHAF1B;ortholog	protein binding(GO:0005488)	nitrogen compound metabolic process(GO:0008152);DNA metabolic process(GO:0006807);cellular process(GO:0044238);chromatin organization(GO:0006139);chromatin assembly(GO:0006259);cellular component biogenesis(GO:0009987)	protein complex(GO:0032991);organelle(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=8591|UniProtKB=Q13177	PAK2	Serine/threonine-protein kinase PAK 2;PAK2;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell cycle(GO:0044238);cell communication(GO:0019538);response to stimulus(GO:0006464);regulation of biological process(GO:0006468)	intracellular(GO:0044464)
HUMAN|HGNC=8488|UniProtKB=Q13416	ORC2	Origin recognition complex subunit 2;ORC2;ortholog	DNA replication origin binding(GO:0005488)	DNA replication(GO:0008152);cell cycle(GO:0044238)	
HUMAN|HGNC=20772|UniProtKB=Q13509	TUBB3	Tubulin beta-3 chain;TUBB3;ortholog	structural constituent of cytoskeleton(GO:0005198)	cell cycle(GO:0009987);anatomical structure morphogenesis(GO:0007049);intracellular protein transport(GO:0032502)	protein complex(GO:0032991);intracellular(GO:0043234)
HUMAN|HGNC=17346|UniProtKB=Q13523	PRPF4B	Serine/threonine-protein kinase PRP4 homolog;PRPF4B;ortholog	non-membrane spanning protein tyrosine kinase activity(GO:0003824)	glycogen metabolic process(GO:0008152);protein phosphorylation(GO:0044238);mitosis(GO:0005975);cell communication(GO:0005976)	
HUMAN|HGNC=2987|UniProtKB=Q14185	DOCK1	Dedicator of cytokinesis protein 1;DOCK1;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515);guanyl-nucleotide exchange factor activity(GO:0030234)	metabolic process(GO:0008152);cellular component movement(GO:0009987);cell communication(GO:0006928);intracellular protein transport(GO:0007154);phagocytosis(GO:0051179);regulation of catalytic activity(GO:0006810)	
HUMAN|HGNC=21163|UniProtKB=Q14676	MDC1	Mediator of DNA damage checkpoint protein 1;MDC1;ortholog			
HUMAN|HGNC=17362|UniProtKB=Q14865	ARID5B	AT-rich interactive domain-containing protein 5B;ARID5B;ortholog	DNA binding(GO:0005488)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);regulation of nucleobase-containing compound metabolic process(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=17894|UniProtKB=Q14966	ZNF638	Zinc finger protein 638;ZNF638;ortholog	DNA binding(GO:0005488);RNA binding(GO:0003676)		
HUMAN|HGNC=16846|UniProtKB=Q15007	WTAP	Pre-mRNA-splicing regulator WTAP;WTAP;ortholog			
HUMAN|HGNC=28975|UniProtKB=Q15018	FAM175B	BRISC complex subunit Abro1;FAM175B;ortholog			
HUMAN|HGNC=7729|UniProtKB=Q15019	SEPT2	Septin-2;SEPT2;ortholog	GTPase activity(GO:0003824);structural constituent of cytoskeleton(GO:0016787);protein binding(GO:0003924)	metabolic process(GO:0008152);cytokinesis(GO:0009987);mitosis(GO:0000910)	cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=11580|UniProtKB=Q15814	TBCC	Tubulin-specific chaperone C;TBCC;ortholog		cellular process(GO:0009987);cellular component organization(GO:0071840)	
HUMAN|HGNC=34404|UniProtKB=Q1ED39	KNOP1	Lysine-rich nucleolar protein 1;KNOP1;ortholog			
HUMAN|HGNC=27030|UniProtKB=Q5F1R6	DNAJC21	DnaJ homolog subfamily C member 21;DNAJC21;ortholog		spermatogenesis(GO:0000003);immune system process(GO:0007276);apoptotic process(GO:0007283);system process(GO:0002376);apoptotic process(GO:0006915);negative regulation of apoptotic process(GO:0032501)	
HUMAN|HGNC=20368|UniProtKB=Q5T200	ZC3H13	Zinc finger CCCH domain-containing protein 13;ZC3H13;ortholog			
HUMAN|HGNC=30313|UniProtKB=Q5T4S7	UBR4	E3 ubiquitin-protein ligase UBR4;UBR4;ortholog			
HUMAN|HGNC=25676|UniProtKB=Q5T7V8	GORAB	RAB6-interacting golgin;GORAB;ortholog			
HUMAN|HGNC=29434|UniProtKB=Q5TC82	RC3H1	Roquin-1;RC3H1;ortholog			
HUMAN|HGNC=11845|UniProtKB=Q9Y490	TLN1	Talin-1;TLN1;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);cellular component organization(GO:0009653)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|Gene=MLK4|UniProtKB=Q5TCX8	MLK4	Mitogen-activated protein kinase kinase kinase MLK4;MLK4;ortholog	non-membrane spanning protein tyrosine kinase activity(GO:0003824)	female gamete generation(GO:0000003);immune system process(GO:0007276);induction of apoptosis(GO:0007292);phosphate-containing compound metabolic process(GO:0002376);protein phosphorylation(GO:0006915);cell cycle(GO:0006917);cell communication(GO:0008152);cellular component morphogenesis(GO:0006796);embryo development(GO:0044238);induction of apoptosis(GO:0019538);response to stress(GO:0006464);cellular component organization(GO:0006468)	
HUMAN|HGNC=682|UniProtKB=Q92974	ARHGEF2	Rho guanine nucleotide exchange factor 2;ARHGEF2;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515);guanyl-nucleotide exchange factor activity(GO:0030234)	apoptotic process(GO:0006915);metabolic process(GO:0008152);cell communication(GO:0009987);cell adhesion(GO:0007154);apoptotic process(GO:0022610);regulation of catalytic activity(GO:0007155)	
HUMAN|HGNC=25817|UniProtKB=Q5VYS8	ZCCHC6	Terminal uridylyltransferase 7;ZCCHC6;ortholog	nucleotidyltransferase activity(GO:0003824)	metabolic process(GO:0008152);cell cycle(GO:0009987)	
HUMAN|HGNC=26818|UniProtKB=Q68D10	SPTY2D1	Protein SPT2 homolog;SPTY2D1;ortholog	nucleic acid binding(GO:0005488);chromatin binding(GO:0003676)	nucleobase-containing compound metabolic process(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=24500|UniProtKB=Q69YN4	KIAA1429	Protein virilizer homolog;KIAA1429;ortholog			
HUMAN|HGNC=28658|UniProtKB=Q6DCA0	AMMECR1L	AMMECR1-like protein;AMMECR1L;ortholog			
HUMAN|HGNC=26998|UniProtKB=Q6DD87	ZNF787	Zinc finger protein 787;ZNF787;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=28050|UniProtKB=Q6FI81	CIAPIN1	Anamorsin;CIAPIN1;ortholog			
HUMAN|HGNC=20893|UniProtKB=Q6W2J9	BCOR	BCL-6 corepressor;BCOR;ortholog			
HUMAN|HGNC=24497|UniProtKB=Q6ZRI6	C15orf39	Uncharacterized protein C15orf39;C15orf39;ortholog			
HUMAN|HGNC=16974|UniProtKB=Q6ZRS2	SRCAP	Helicase SRCAP;SRCAP;ortholog	helicase activity(GO:0003824);binding(GO:0004386)	DNA repair(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);cellular process(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0006259);chromatin organization(GO:0006281)	
HUMAN|HGNC=24320|UniProtKB=Q71RC2	LARP4	La-related protein 4;LARP4;ortholog	RNA binding(GO:0005488)	tRNA metabolic process(GO:0008152)	ribonucleoprotein complex(GO:0032991)
HUMAN|HGNC=11470|UniProtKB=Q7KZ85	SUPT6H	Transcription elongation factor SPT6;SUPT6H;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700);chromatin binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=30646|UniProtKB=Q7KZF4	SND1	Staphylococcal nuclease domain-containing protein 1;SND1;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=20063|UniProtKB=Q86T82	USP37	Ubiquitin carboxyl-terminal hydrolase 37;USP37;ortholog		cell cycle(GO:0009987)	
HUMAN|HGNC=18713|UniProtKB=Q86VQ1	GLCCI1	Glucocorticoid-induced transcript 1 protein;GLCCI1;ortholog			
HUMAN|HGNC=29101|UniProtKB=Q86XL3	ANKLE2	Ankyrin repeat and LEM domain-containing protein 2;ANKLE2;ortholog			
HUMAN|HGNC=18676|UniProtKB=Q86XP3	DDX42	ATP-dependent RNA helicase DDX42;DDX42;ortholog	RNA helicase activity(GO:0003824);translation initiation factor activity(GO:0004386);translation initiation factor activity(GO:0003724);translation initiation factor activity(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);translation(GO:0044238);regulation of translation(GO:0006139)	
HUMAN|HGNC=28571|UniProtKB=Q8IV50	LYSMD2	LysM and putative peptidoglycan-binding domain-containing protein 2;LYSMD2;ortholog			
